"Time","Temperature of Sphere","Ambient Temperature"
0.000000,26.1,26.8
0.004167,30.2,27.2
0.008333,44.9,26.4
0.012500,70.4,27.4
0.016667,98.6,26.8
0.020833,129.3,26.8
0.025000,161.2,27.6
0.029167,190.1,26.4
0.033333,219.5,26.8
0.037500,246.9,27.4
0.041667,270.4,27.2
0.045833,279.1,27.0
0.050000,281.7,27.6
0.054167,282.4,27.4
0.058333,280.3,27.6
0.062500,277.8,27.0
0.066667,276.2,27.2
0.070833,273.5,26.6
0.075000,270.6,27.6
0.079167,268.3,27.2
0.083333,265.1,26.6
0.087500,263.2,27.0
0.091667,260.3,26.2
0.095833,258.0,26.4
0.100000,255.4,27.4
0.104167,252.5,27.4
0.108333,250.2,26.4
0.112500,247.1,26.6
0.116667,246.3,27.8
0.120833,242.6,26.6
0.125000,240.3,27.4
0.129167,238.7,26.4
0.133333,236.4,27.0
0.137500,234.4,27.4
0.141667,232.1,26.4
0.145833,230.2,26.2
0.150000,228.4,26.4
0.154167,225.9,26.8
0.158333,224.5,27.2
0.162500,222.6,26.2
0.166667,220.6,27.4
0.170833,218.5,26.8
0.175000,216.4,27.0
0.179167,215.6,27.2
0.183333,213.1,26.6
0.187500,210.7,26.6
0.191667,209.6,26.0
0.195833,207.8,27.0
0.200000,206.1,26.2
0.204167,204.5,27.2
0.208333,202.8,27.0
0.212500,201.4,27.6
0.216667,199.6,26.6
0.220833,197.9,26.6
0.225000,196.1,26.2
0.229167,194.8,26.6
0.233333,193.4,26.8
0.237500,191.5,26.8
0.241667,190.3,26.4
0.245833,187.8,26.4
0.250000,187.4,26.6
0.254167,186.0,26.0
0.258333,184.3,26.2
0.262500,183.3,26.8
0.266667,181.0,26.4
0.270833,179.4,27.0
0.275000,179.2,26.4
0.279167,177.9,26.6
0.283333,175.9,26.2
0.287500,174.8,26.8
0.291667,173.4,27.0
0.295833,171.7,26.8
0.300000,170.1,25.6
0.304167,168.9,25.8
0.308333,168.2,27.4
0.312500,167.0,27.4
0.316667,165.0,26.4
0.320833,164.5,26.4
0.325000,162.9,26.4
0.329167,161.9,26.6
0.333333,161.0,26.4
0.337500,159.4,25.8
0.341667,157.9,26.2
0.345833,156.9,26.6
0.350000,156.3,26.6
0.354167,154.4,25.8
0.358333,153.0,26.4
0.362500,152.8,26.6
0.366667,151.8,26.4
0.370833,150.1,26.0
0.375000,149.7,27.0
0.379167,148.1,27.2
0.383333,146.8,27.4
0.387500,145.8,26.6
0.391667,144.4,25.8
0.395833,144.6,25.8
0.400000,143.1,25.8
0.404167,141.3,26.2
0.408333,141.5,27.0
0.412500,140.6,26.0
0.416667,139.0,26.2
0.420833,138.4,26.6
0.425000,136.9,26.6
0.429167,136.1,26.2
0.433333,135.1,27.2
0.437500,134.7,26.0
0.441667,133.0,26.4
0.445833,132.4,25.8
0.450000,131.6,26.6
0.454167,130.6,26.2
0.458333,130.1,25.8
0.462500,128.5,25.8
0.466667,128.3,26.4
0.470833,126.8,26.8
0.475000,126.4,26.2
0.479167,125.4,26.8
0.483333,124.6,25.8
0.487500,124.8,26.6
0.491667,122.5,26.0
